Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
No,0,0,506,33.7,14.9,0.372,0.008,0.006,0.008,0.198,0,0.008,0.773,27.315
No,0,0,230,12,19.1,0.517,0.061,0.017,0.009,0.257,0.004,0.035,0.617,27.0185
Yes,0,0,1370,76.7,17.8,0.724,0.241,0.008,0.163,0.307,0.001,0.03,0.25,26.92183
No,0,0,261,9.9,26.3,0.011,0.015,0.015,0.004,0.107,0,0.05,0.808,26.8515
No,0,0,128,9.2,13.8,0.445,0,0.031,0,0.016,0,0.023,0.93,26.75533
No,0,0,47,4,11.7,0.468,0,0.064,0,0.085,0,0.021,0.83,26.73933
No,0,0,352,22.2,15.7,0.449,0.006,0.003,0.009,0.426,0,0.026,0.531,26.69667
Yes,0,0,1260,66.7,18.8,0.73,0.025,0.01,0.09,0.712,0.004,0.014,0.144,26.28167
No,0,0,58,6.8,8.5,0.534,0,0,0.017,0.086,0,0,0.897,25.89967
No,0,0,96,7.1,13.5,0.385,0,0.021,0,0.323,0,0.01,0.646,25.139
Yes,1,0,295,17.1,17.2,0.644,0.22,0.007,0.003,0.397,0.007,0.081,0.285,24.81833
No,0,0,533,34.8,15.2,0.433,0.006,0.006,0.004,0.505,0.002,0.009,0.469,23.80317
No,0,0,222,15.8,14,0.599,0.032,0,0,0.23,0,0.068,0.671,23.64633
No,0,0,147,11.1,13.2,0.361,0.02,0.027,0.007,0.156,0,0.034,0.755,23.312
No,0,0,1317,78.7,16.7,0.693,0.153,0.015,0.025,0.366,0.003,0.058,0.38,23.11933
No,0,0,182,7.6,23.8,0.181,0.005,0.011,0.005,0.088,0,0.038,0.852,23.04183
No,0,0,1518,73.2,20.7,0.657,0.032,0.004,0.036,0.567,0.001,0.018,0.342,22.646
No,0,0,84,3.8,22,0.298,0.012,0.012,0.024,0.488,0,0.036,0.429,22.28833
No,0,0,906,59.2,15.3,0.695,0.024,0.018,0.039,0.426,0.001,0.022,0.47,22.113
No,0,0,233,20.9,11.1,0.412,0.009,0.326,0.009,0.266,0.004,0.043,0.343,21.38417
Yes,1,0,293,13.2,22.1,0.744,0.014,0.007,0.007,0.925,0.007,0.007,0.034,20.64567
No,0,0,111,9.2,12,0,0.018,0.018,0,0.378,0,0,0.586,20.58033
No,0,0,1784,89.1,20,0.434,0.033,0.006,0.043,0.578,0.001,0.008,0.33,20.24817
Yes,1,0,249,16.6,14.9,0.855,0.313,0,0.012,0.55,0.004,0.028,0.092,19.52817
No,0,0,1421,73.4,19.3,0.653,0.027,0.003,0.01,0.636,0.001,0.018,0.305,19.33483
No,0,0,1774,88.2,20,0.564,0.035,0.012,0.059,0.597,0.001,0.013,0.283,18.91217
No,0,0,2094,100,20.9,0.743,0.157,0.005,0.037,0.655,0.012,0.026,0.109,18.86283
No,0,0,591,34.7,17,0.623,0.002,0.007,0.003,0.706,0.002,0.01,0.271,18.14167
No,0,0,395,47.3,8.3,0.451,0.203,0.018,0.01,0.57,0,0.051,0.149,17.19267
Yes,0,0,769,55.4,13.8,0.849,0.057,0.014,0.005,0.823,0,0.004,0.096,16.924
No,0,0,292,18.3,15.9,0.664,0,0.007,0,0.719,0,0.017,0.257,16.31817
No,0,0,379,18,21,0.744,0.005,0.003,0.011,0.794,0,0.016,0.172,16.29317
No,0,0,123,9.2,13.3,0.618,0.041,0,0.016,0.374,0,0.089,0.48,15.88967
No,0,0,826,43.6,18.9,0.717,0.034,0.007,0,0.753,0.001,0.007,0.197,15.38067
Yes,0,0,1152,67.5,17,0.885,0.241,0.002,0.03,0.662,0.004,0.023,0.037,15.03883
No,0,0,1749,84.7,20.6,0.774,0.027,0.005,0.003,0.831,0,0.006,0.127,14.01533
No,0,0,1690,81.2,20.8,0.621,0.251,0.007,0.028,0.504,0.009,0.037,0.164,13.41733
No,0,0,1051,53,19.7,0.665,0.009,0.004,0.007,0.722,0.006,0.01,0.244,12.80833
No,0,0,63,4.2,14.8,0.476,0.016,0,0.016,0.127,0.032,0.032,0.778,12.75467
Yes,0,0,377,24.4,15.4,0.841,0.029,0.011,0.037,0.748,0,0.011,0.164,12.70733
No,0,0,883,53.4,16.5,0.813,0.027,0.011,0.079,0.692,0,0.023,0.168,12.45267
No,0,0,105,27,3.8,0.724,0.01,0.01,0.01,0.562,0,0,0.41,12.15533
No,0,0,2388,96,24.8,0.747,0.017,0.008,0.062,0.719,0,0.017,0.177,11.91867
No,1,0,158,7,22.5,0.646,0,0.006,0,0.335,0,0.013,0.646,11.547
Yes,0,0,229,19.9,11.4,0.843,0.245,0,0.017,0.646,0.009,0.035,0.048,11.37517
No,0,0,616,31.1,19.7,0.622,0.026,0.016,0.002,0.659,0.003,0.023,0.271,11.29767
No,0,0,287,20.3,14.1,0.446,0.014,0.01,0,0.453,0,0.031,0.491,11.22883
No,0,0,154,8.5,17.9,0.39,0,0.006,0,0.721,0,0.013,0.26,10.19433
Yes,0,0,123,10.7,11.4,0.894,0.106,0.024,0,0.756,0,0.033,0.081,9.997
Yes,0,0,198,20,9.9,0.763,0.106,0,0.01,0.48,0,0.056,0.348,9.584
Yes,0,0,870,63.9,13.5,0.977,0.106,0.005,0.003,0.854,0,0.015,0.017,9.30967
No,0,0,2120,105.4,20.1,0.706,0.161,0.011,0.086,0.666,0.003,0.02,0.053,8.81717
No,0,0,119,9,13.1,0.529,0.084,0.008,0.008,0.311,0.008,0.118,0.462,8.106
No,0,0,106,5.2,20.1,0.538,0,0.009,0,0.547,0,0,0.443,8.101
No,1,0,599,10.8,55.2,0.634,0.07,0.002,0.007,0.656,0.002,0.013,0.25,7.73333
No,0,0,190,20.1,9.4,0.505,0.016,0.021,0,0.295,0,0.032,0.637,7.62033
Yes,1,0,158,9.8,16,0.778,0.019,0.025,0,0.791,0,0,0.165,7.39267
Yes,0,0,567,48.2,11.7,0.877,0.037,0.011,0.002,0.806,0,0.019,0.125,7.22233
No,0,0,42,4,10.5,0.81,0,0,0,0.738,0,0,0.262,6.83933
No,1,0,297,12.3,24.1,0.401,0.071,0.024,0.003,0.434,0.003,0.051,0.414,6.73683
Yes,0,0,600,33,18.1,0.845,0.018,0.005,0.008,0.873,0,0.008,0.087,6.34167
Yes,0,0,1509,90.9,16.5,0.967,0.012,0.005,0.023,0.93,0.001,0.003,0.027,6.32883
No,0,0,120,14.5,8.2,0.758,0.017,0.058,0,0.158,0,0.025,0.742,6.01333
Yes,0,0,417,25.1,16.6,0.727,0.329,0.005,0.007,0.6,0,0.041,0.019,5.84267
Yes,1,0,118,4.6,25.3,0.305,0.042,0.017,0.017,0.602,0.008,0.008,0.305,5.789
No,0,0,293,17,17.2,0.638,0.01,0,0.007,0.771,0.003,0.003,0.205,5.53017
Yes,1,0,238,34.1,6.9,0.987,0.252,0.025,0.017,0.374,0,0.034,0.298,5.39217
No,0,0,387,19.2,20.1,0.517,0.005,0.01,0.003,0.276,0.003,0.041,0.661,5.231
No,0,0,237,24.4,9.7,0.646,0.038,0.021,0.017,0.553,0.004,0.046,0.321,5.22033
No,0,0,220,11.2,19.5,0.509,0.027,0,0,0.782,0,0,0.191,5.16633
No,0,0,105,7.1,14.6,0,0.133,0.029,0,0.219,0.01,0,0.61,4.93683
No,0,0,65,6.3,10.2,0.662,0.031,0,0,0.354,0,0,0.615,4.5085
Yes,0,0,157,19.7,7.9,0.777,0.013,0.006,0.013,0.892,0,0.006,0.07,4.469
No,0,0,302,26.9,11.2,0.483,0.04,0.017,0.003,0.49,0.003,0.023,0.424,4.22433
No,0,0,103,5.6,18.1,0.563,0,0.019,0,0.262,0,0.019,0.699,4.11367
Yes,0,0,225,22.5,10,0.813,0.164,0.009,0,0.747,0,0.013,0.067,3.963
Yes,1,0,153,8.8,17.2,0.85,0.34,0.039,0,0.529,0,0.026,0.065,3.94467
No,0,0,137,28.7,4.7,0.599,0.015,0.015,0.007,0.628,0,0.029,0.307,3.83733
Yes,0,0,73,4,18.2,0.699,0.192,0.027,0.014,0.466,0,0.068,0.233,3.79533
No,1,0,161,8.1,19.7,0.478,0.006,0.342,0,0.149,0,0.019,0.484,3.46217
No,0,0,407,20.6,19.6,0.708,0.012,0.01,0.002,0.789,0,0.015,0.172,3.41917
No,1,0,238,11,21.5,0.311,0.214,0.004,0,0.429,0.004,0.046,0.303,3.182
Yes,0,0,154,21.2,7.2,0.799,0.266,0.006,0,0.623,0.013,0.013,0.078,3.15767
Yes,0,0,249,12.3,20.1,0.341,0.076,0.004,0.024,0.177,0.004,0.068,0.647,2.80433
Yes,1,0,253,10.2,24.8,0.834,0.016,0.004,0.016,0.945,0,0,0.02,2.80233
Yes,0,0,244,13.8,17.5,0.824,0.381,0.012,0.004,0.52,0,0.02,0.061,2.7855
No,1,0,113,9.6,11.7,0.469,0.027,0.027,0,0.416,0.009,0.027,0.496,2.76467
No,0,0,41,10,4.1,0.683,0,0.024,0,0.512,0,0,0.463,2.41067
No,1,0,434,19.6,22.1,0.8,0.099,0,0.092,0.765,0.007,0.002,0.035,2.39117
Yes,1,0,97,7,13.7,0.835,0.062,0.031,0,0.866,0,0.021,0.021,2.3415
No,0,0,112,7.1,15.6,0.5,0.018,0,0,0.554,0,0,0.429,2.08633
Yes,0,0,41,3.2,12.4,0.732,0.024,0,0,0.732,0,0,0.244,1.26667
