Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014)
No,1,0,738,30.4,24.2,0.057,0.001,0.003,0.024,0.098,0.003,0.049,0.822,89.35407
No,0,0,531,29.3,18,0.173,0.017,0.002,0.092,0.202,0.002,0.058,0.627,89.24191
No,0,0,561,31.8,17.6,0.066,0.014,0.002,0.059,0.116,0.004,0.073,0.733,89.23773
No,0,0,614,32.7,18.7,0.046,0.005,0,0.047,0.099,0,0.06,0.788,89.20993
No,1,0,648,35.9,18,0.032,0.008,0.005,0.185,0.091,0.002,0.043,0.667,89.16471
No,1,0,405,15.9,25.3,0.057,0.01,0.002,0.022,0.099,0,0.049,0.817,88.94786
No,1,0,502,32.9,15.2,0,0.062,0.002,0.205,0.072,0,0.048,0.612,88.79079
No,0,0,557,29.2,19,0.133,0.027,0.002,0.199,0.111,0.005,0.038,0.618,88.75745
Yes,0,0,109,12.7,8.5,0.394,0.009,0,0.028,0.11,0,0,0.853,88.71743
No,0,0,574,30.7,18.6,0.15,0.003,0.002,0.019,0.101,0,0.063,0.812,88.67273
No,0,0,488,23.1,21,0.057,0.008,0.002,0.033,0.049,0,0.084,0.824,88.60364
No,0,0,517,32.2,16,0.149,0.019,0.01,0.008,0.133,0.002,0.07,0.758,88.40918
No,0,0,575,29.2,19.6,0.019,0.01,0.014,0.033,0.068,0,0.021,0.854,88.33836
Yes,1,0,794,69.6,11.4,0.224,0.044,0.003,0.047,0.23,0,0.059,0.617,88.31729
Yes,0,0,122,12.2,9.9,0.492,0,0.008,0,0.049,0,0.008,0.934,88.2265
No,0,0,721,40,18,0.087,0.051,0.006,0.111,0.119,0.007,0.065,0.641,88.217
No,1,0,933,59.6,15.6,0.095,0.009,0.01,0.081,0.058,0.002,0.016,0.824,88.16586
Yes,0,0,518,36.5,14.1,0.197,0.004,0.002,0.017,0.151,0.002,0.014,0.811,88.12818
No,0,0,431,23.8,18,0.07,0.005,0.002,0.035,0.053,0,0.077,0.828,88.08373
No,0,0,599,28.3,21.1,0.063,0.052,0.003,0.035,0.08,0,0.083,0.746,87.82729
No,0,0,455,24.9,18.2,0.321,0.009,0.013,0.007,0.116,0.002,0.015,0.837,87.57
No,0,0,326,15.6,20.7,0.141,0.003,0,0.021,0.104,0.003,0.037,0.831,87.37607
No,0,0,581,28.7,20.2,0.036,0.015,0.005,0.031,0.067,0,0.055,0.826,87.0805
No,0,0,319,14.7,21.6,0.132,0.013,0.006,0.028,0.056,0,0.082,0.815,87.02064
No,0,0,290,14.5,19.9,0.072,0,0.003,0.041,0.048,0,0.031,0.876,86.86173
No,0,0,337,17.8,18.8,0.074,0.027,0.003,0.148,0.134,0,0.039,0.65,86.83736
No,0,0,733,36.5,20,0.111,0.007,0,0.098,0.112,0,0.057,0.726,86.77429
No,1,0,548,23.8,22.9,0.462,0.055,0.005,0.042,0.369,0.024,0.053,0.453,86.71945
No,0,0,501,27.4,18.2,0.184,0.008,0.002,0.028,0.088,0,0.042,0.832,86.68364
No,0,0,546,26.6,20.4,0.137,0,0.002,0.042,0.062,0.004,0.031,0.859,86.546
No,0,0,312,15.8,19.7,0.176,0.01,0,0.067,0.192,0,0.077,0.654,86.54191
No,0,0,614,32,19.1,0.127,0.011,0,0.02,0.112,0,0.039,0.818,86.52909
No,0,0,235,15.6,15,0.217,0,0,0.017,0.111,0,0.03,0.843,86.52191
No,1,0,262,18.4,14.2,0.046,0.038,0,0.015,0.069,0.004,0.011,0.863,86.39064
No,0,0,577,29.6,19.4,0.087,0.002,0.003,0.019,0.088,0,0.029,0.858,86.15509
No,0,0,651,35,18.6,0.023,0.008,0.003,0.083,0.084,0.002,0.048,0.773,85.97991
No,0,0,475,23.9,19.7,0.109,0.013,0,0.036,0.109,0,0.023,0.819,85.84073
