City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Colorado Springs,0,1,0,487,35.4,13.7,0.055,0.014,0.002,0.018,0.082,0,0.045,0.838,84.8845
Louisville,0,0,0,887,46.7,18.9,0.115,0.012,0.002,0.118,0.09,0.001,0.067,0.709,84.72755
Highlands Ranch,0,0,0,1119,54.4,20.5,0.073,0.006,0,0.053,0.111,0.001,0.031,0.798,84.72563
Colorado Springs,0,0,0,2509,139.8,17.9,0.073,0.024,0.004,0.031,0.106,0.004,0.057,0.774,84.528
Eagle,0,0,0,301,18.7,16,0.276,0,0.003,0.01,0.319,0,0.02,0.648,84.37609
Broomfield,0,1,0,914,47.2,19.3,0.012,0.008,0.002,0.073,0.07,0,0.028,0.818,84.13955
Boulder,0,0,0,510,25.2,20.2,0.094,0.014,0.01,0.029,0.084,0,0.069,0.794,84.01809
Englewood,0,0,0,66,4.8,13.4,0.439,0.015,0,0.03,0.182,0,0.061,0.712,83.59957
Centennial,0,0,0,628,32,19.5,0.164,0.01,0.005,0.033,0.115,0.003,0.03,0.804,83.33573
Monument,0,0,0,817,47.6,17.1,0.091,0.004,0.012,0.038,0.095,0.001,0.038,0.812,83.25625
Edwards,0,1,0,346,24.6,14,0.023,0,0.003,0.006,0.038,0,0.009,0.945,82.64536
Loveland,0,1,0,476,25.9,18.3,0.271,0.002,0.008,0.023,0.139,0,0.032,0.796,82.38391
Lakewood,0,0,0,1111,57.6,19.2,0.427,0.011,0.007,0.077,0.316,0.003,0.034,0.553,82.33845
Denver,0,0,1,774,36.3,21.2,0.517,0.062,0.032,0.081,0.468,0.004,0.039,0.314,82.022
Littleton,0,0,0,640,34,18.8,0.177,0.006,0.006,0.008,0.128,0.003,0.038,0.811,81.90927
Arvada,0,1,0,643,30.6,21,0.198,0.014,0.002,0.045,0.199,0,0.056,0.684,81.80927
Conifer,0,0,0,574,34,16.8,0.199,0.003,0.012,0.019,0.073,0.002,0.012,0.878,81.53291
Arvada,0,0,0,669,35.4,18.8,0.263,0.006,0.007,0.031,0.152,0,0.027,0.776,81.28938
Northglenn,0,0,1,460,24,19.1,0.191,0.009,0.004,0.059,0.124,0,0.028,0.776,80.98482
Pueblo,0,0,1,646,32,20.1,0.418,0.015,0.002,0.017,0.588,0.003,0.019,0.356,80.67291
Aurora,0,0,0,1125,59.7,18.8,0.09,0.075,0.003,0.085,0.116,0.002,0.054,0.666,80.48982
La Veta,0,0,0,104,10.4,9.9,0.51,0,0.01,0,0.356,0,0.01,0.625,80.34667
Ridgway,0,0,0,85,6.5,12.9,0.341,0.012,0,0.012,0.071,0.012,0.082,0.812,79.90327
Littleton,0,0,0,753,40.4,18.6,0.194,0.007,0.003,0.029,0.185,0,0.032,0.745,79.85763
Evergreen,0,1,0,446,24.8,17.9,0.027,0.011,0.004,0.022,0.063,0.004,0.031,0.863,79.84582
Aurora,0,0,0,1079,61.8,17.4,0.189,0.088,0.005,0.104,0.171,0,0.05,0.582,79.78627
Highlands Ranch,0,1,0,1035,73.4,14,0.044,0.016,0.004,0.116,0.108,0.001,0.037,0.718,79.43873
Berthoud,0,0,0,460,24.4,18.8,0.215,0.007,0.007,0.017,0.111,0.004,0.015,0.839,79.13982
Aspen,0,0,0,481,39.9,12,0.06,0.008,0.006,0.019,0.098,0,0,0.869,78.81155
Colorado Springs,0,0,0,958,56.4,16.9,0.188,0.042,0.006,0.032,0.127,0.003,0.065,0.724,78.71382
Colorado Springs,0,1,0,750,46.4,16.1,0.124,0.049,0.005,0.032,0.181,0.003,0.077,0.652,78.49455
Colorado Springs,0,1,0,446,27.5,16.1,0.417,0.092,0.007,0.061,0.399,0.009,0.034,0.399,78.41191
Erie,0,0,0,707,34.9,20.2,0.144,0.013,0.004,0.024,0.119,0.003,0.011,0.826,78.11845
Northglenn,0,1,0,390,26.7,14.5,0.044,0.003,0.003,0.033,0.144,0,0.044,0.774,77.69809
Colorado Springs,0,0,0,1062,61.3,17.3,0.168,0.041,0.006,0.025,0.136,0.002,0.053,0.737,77.45491
Elbert,0,0,0,103,9.8,10.4,0.252,0,0,0.049,0,0,0.01,0.942,77.32475
Salida,1,0,0,329,24.3,13.4,0.471,0.003,0,0.006,0.161,0,0.027,0.802,76.35036
Parker,0,0,0,1432,67.8,21.1,0.105,0.01,0.004,0.026,0.105,0.001,0.042,0.813,76.274
Denver,0,1,0,233,16.6,13.9,0.348,0.129,0.004,0.021,0.159,0,0.12,0.567,76.23027
Highlands Ranch,0,0,0,1007,53.4,18.8,0.076,0.005,0.004,0.035,0.111,0,0.043,0.802,76.12313
Durango,0,1,0,164,12.1,13.4,0.037,0,0.024,0.006,0.067,0,0,0.902,76.07618
Lakewood,0,0,0,597,35.6,16.7,0.288,0.02,0.008,0.025,0.156,0.003,0.034,0.754,76.04288
Littleton,0,0,0,658,39,16.8,0.222,0.015,0.006,0.043,0.15,0.005,0.032,0.749,75.9125
Windsor,0,0,0,444,28.8,15.3,0.155,0.002,0.007,0.011,0.135,0,0.032,0.813,75.57118
Fort Collins,0,0,0,733,39,18.7,0.402,0.011,0.003,0.034,0.28,0,0.044,0.629,75.13564
Colorado Springs,0,0,0,1131,61.8,18.3,0.213,0.035,0.003,0.065,0.157,0.003,0.053,0.684,75.13455
Fort Collins,0,0,0,284,17.3,16.3,0.32,0.004,0.007,0.014,0.063,0,0.042,0.87,74.96164
Colorado Springs,0,0,0,957,53.1,18,0.304,0.061,0.004,0.039,0.172,0.003,0.086,0.635,74.88891
Arvada,0,1,0,517,25.6,20.1,0.182,0.004,0,0.027,0.133,0.002,0.046,0.787,74.79255
Denver,0,1,0,507,33.6,15,0.369,0.28,0.004,0.039,0.152,0,0.028,0.497,74.70591
Denver,0,0,0,387,30.3,12.7,0,0.018,0.003,0.034,0.109,0,0.067,0.77,74.33
