District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
"Lewis-Palmer Consolidated, School District No. 38",1,0,0,352,24.9,14.1,0.27,0.006,0.006,0.023,0.162,0,0.057,0.747,77.41643,71.07946
Adams 12 Five Star Schools,0,1,0,914,47.2,19.3,0.012,0.008,0.002,0.073,0.07,0,0.028,0.818,77.40079,(n/a)
Mesa County Valley School District No. 51,0,0,0,278,13.8,20.1,0.273,0.004,0.004,0.007,0.137,0.004,0.054,0.791,77.30982,74.5278
Jefferson County School District No. R-1,0,0,0,449,22.5,19.9,0.167,0,0.004,0.018,0.118,0,0.027,0.833,77.19564,78.24554
"Littleton, School District No. 6",0,0,0,402,21.4,18.7,0.199,0.012,0,0.02,0.117,0.005,0.042,0.803,77.16945,63.5904
Thompson School District R-2j,0,0,0,323,17.1,18.8,0.297,0,0.006,0.012,0.118,0,0.009,0.854,77.154,69.593
Jefferson County School District No. R-1,0,0,0,528,24.3,21.6,0.311,0.011,0.006,0.025,0.17,0.002,0.028,0.758,77.08057,79.92077
Aspen School District No. 1,0,1,0,125,13.9,8.9,0,0,0.008,0.016,0.016,0,0,0.96,77.038,(n/a)
Thompson School District R-2j,0,0,0,462,27,17,0.253,0.011,0,0.002,0.171,0,0.03,0.786,77.01118,72.6302
"Cherry Creek, School District No. 5",0,0,0,630,33.6,18.7,0.183,0.087,0.005,0.062,0.181,0.005,0.063,0.597,76.98155,77.8131
State Charter School Institute,0,1,0,233,13.3,17.4,0.232,0,0.004,0.009,0.21,0.009,0.013,0.755,76.92757,78.90985
Weld County Reorganized School District No. Re-4,0,0,0,412,24.5,16.8,0.124,0.015,0,0.005,0.087,0,0.012,0.881,76.89945,66.8928
Wray Rd-2 School District,1,0,0,330,19.7,16.6,0.567,0,0.003,0,0.264,0.003,0.009,0.721,76.75629,71.3625
Jefferson County School District No. R-1,0,0,0,444,24,18.5,0.162,0,0.007,0.023,0.101,0,0.029,0.84,76.73093,78.45377
Boulder Valley School District No. Re2,0,0,0,887,46.7,18.9,0.115,0.012,0.002,0.118,0.09,0.001,0.067,0.709,76.72457,81.75085
"Academy, School District No. 20",0,0,0,481,27.4,17.5,0.116,0.027,0.008,0.05,0.112,0,0.062,0.74,76.70764,76.1522
"Douglas County School District, No. Re 1",0,0,0,490,25.9,18.9,0.137,0,0.01,0.014,0.12,0.002,0.043,0.81,76.59173,79.2325
"Academy, School District No. 20",0,0,1,454,25.7,17.6,0.099,0.013,0,0.097,0.121,0,0.064,0.705,76.58227,73.2319
"Colorado Springs, School District No. 11",0,0,0,495,32.4,15.2,0.218,0.053,0.01,0.03,0.154,0.006,0.081,0.667,76.56664,72.8359
"Littleton, School District No. 6",0,0,0,366,20.4,17.9,0.169,0.016,0.003,0.022,0.101,0.003,0.027,0.828,76.52927,65.3587
Poudre School District R-1,0,0,0,441,26.1,16.8,0.463,0.018,0.007,0.016,0.224,0.002,0.039,0.694,76.49827,70.2134
Weld County Reorganized School District No. Re-4,1,0,0,379,25.8,14.6,0.272,0,0.003,0.029,0.182,0,0.037,0.749,76.48109,77.6739
Boulder Valley School District No. Re2,0,0,0,968,49.3,19.6,0.144,0.011,0,0.056,0.123,0.002,0.038,0.77,76.45121,75.20154
"Colorado Springs, School District No. 11",0,0,0,686,37.3,18.3,0.356,0.06,0.004,0.023,0.168,0.006,0.085,0.655,76.39,81.8279
Fremont Re-1,0,1,0,240,14,17.1,0.279,0,0,0.021,0.117,0.013,0.025,0.825,76.38257,85.04469
Boulder Valley School District No. Re2,0,0,0,609,34.7,17.5,0.21,0.015,0.01,0.069,0.176,0,0.064,0.667,76.07409,75.4412
Poudre School District R-1,0,0,0,433,23.3,18.5,0.376,0.009,0.009,0.016,0.194,0.002,0.051,0.718,75.86191,67.2975
Jefferson County School District No. R-1,0,0,0,480,26,18.4,0.142,0.002,0.004,0.048,0.152,0,0.031,0.763,75.69093,75.96738
"Cherry Creek, School District No. 5",0,0,0,631,29.8,21.1,0.165,0.114,0.003,0.081,0.16,0,0.068,0.574,75.67273,80.1016
Jefferson County School District No. R-1,0,0,0,545,29,18.7,0.174,0.002,0.006,0.147,0.167,0,0.029,0.65,75.594,69.79438
Gunnison Watershed School District Re1j,0,0,0,649,44.7,14.5,0.111,0.003,0.005,0.003,0.045,0.003,0.029,0.912,75.53386,76.50223
Poudre School District R-1,0,0,0,581,32.8,17.7,0.454,0.017,0.012,0.003,0.243,0.003,0.034,0.687,75.37736,71.9074
"Littleton, School District No. 6",0,0,0,434,23.3,18.6,0.219,0.016,0.005,0.028,0.118,0,0.021,0.813,75.28836,74.6671
"Douglas County School District, No. Re 1",0,0,0,587,34.8,16.8,0.136,0.009,0.01,0.029,0.143,0.002,0.037,0.77,75.19421,73.90746
"Academy, School District No. 20",1,0,0,434,29.4,14.7,0.311,0.046,0,0.032,0.189,0,0.044,0.689,75.11491,73.9426
Jefferson County School District No. R-1,0,0,0,518,25,20.7,0.286,0.002,0,0.004,0.147,0,0.054,0.793,75.001,77.85338
School District No. 1,0,1,0,507,33.6,15,0.369,0.28,0.004,0.039,0.152,0,0.028,0.497,74.90686,75.303
"Douglas County School District, No. Re 1",0,0,0,485,27.1,17.8,0.076,0.002,0.01,0.041,0.134,0.002,0.037,0.773,74.71393,79.466
Jefferson County School District No. R-1,0,1,0,446,24.8,17.9,0.027,0.011,0.004,0.022,0.063,0.004,0.031,0.863,74.66593,87.03577
Jefferson County School District No. R-1,0,0,0,334,15,22.2,0.368,0.006,0.012,0.006,0.314,0,0.036,0.626,74.51779,67.57308
"Falcon, School District No. 49",0,1,0,750,46.4,16.1,0.124,0.049,0.005,0.032,0.181,0.003,0.077,0.652,74.18679,76.21823
Weld County Reorganized School District No. Re-4,0,0,0,563,30.6,18.3,0.158,0,0.002,0.004,0.139,0,0.011,0.845,73.94773,78.5879
Jefferson County School District No. R-1,0,0,0,515,24.5,21,0.264,0.008,0.012,0.016,0.206,0.002,0.041,0.717,73.89393,71.36992
State Charter School Institute,0,1,0,528,26.6,19.8,0.263,0.036,0,0.019,0.223,0.006,0.044,0.672,73.79664,79.98238
"Douglas County School District, No. Re 1",0,0,0,588,31.2,18.8,0.07,0.003,0.002,0.051,0.109,0.002,0.049,0.784,73.67021,81.61962
"Academy, School District No. 20",0,0,0,439,27,16.2,0.178,0.014,0,0.032,0.13,0,0.075,0.749,73.25245,76.6995
Jefferson County School District No. R-1,0,1,0,643,30.6,21,0.198,0.014,0.002,0.045,0.199,0,0.056,0.684,73.23786,69.52792
Durango School District No. 9-R,1,0,0,286,18,15.8,0.399,0,0.049,0.003,0.276,0,0.028,0.643,73.20645,59.021
Jefferson County School District No. R-1,0,0,0,520,28,18.5,0.138,0.01,0.002,0.033,0.113,0,0.04,0.802,73.11721,74.88962
"Douglas County School District, No. Re 1",0,0,0,760,44.9,16.9,0.158,0.007,0.003,0.017,0.171,0,0.057,0.746,73.02871,70.28131
"Colorado Springs, School District No. 11",0,1,0,285,19,14.9,0.218,0.007,0.007,0.035,0.091,0,0.025,0.835,72.96507,86.71754
"Douglas County School District, No. Re 1",0,0,0,692,37.5,18.4,0.061,0.004,0.004,0.033,0.077,0,0.055,0.827,72.63227,77.2542
Jefferson County School District No. R-1,0,0,0,443,22.8,19.3,0.318,0.016,0.005,0.025,0.233,0.009,0.038,0.675,72.48257,67.00477
St. Vrain Valley School District No. Re1j,0,0,0,419,24.7,16.9,0.446,0.002,0,0.031,0.31,0.002,0.024,0.63,72.16036,74.832
School District No. 1,0,0,0,319,20.7,15.3,0.42,0.075,0.003,0.028,0.245,0.003,0.05,0.596,72.14373,75.1988
Adams 12 Five Star Schools,0,0,1,460,24,19.1,0.191,0.009,0.004,0.059,0.124,0,0.028,0.776,71.958,81.16431
Durango School District No. 9-R,0,0,0,631,32,19.7,0.206,0.006,0.021,0.003,0.122,0.002,0.032,0.815,71.93055,74.3065
Adams 12 Five Star Schools,0,0,0,608,32,19,0.248,0.028,0.008,0.044,0.184,0.002,0.031,0.702,71.60464,68.9262
School District No. 1,0,0,0,359,18,19.9,0.27,0.025,0.017,0.028,0.237,0,0.078,0.616,71.45709,72.151
Jefferson County School District No. R-1,0,1,0,678,35.2,19.2,0.161,0.009,0,0.032,0.099,0.004,0.069,0.786,71.41064,78.35262
"Greeley,school District No. 6",0,0,0,548,28.5,19.2,0.392,0.013,0,0.018,0.38,0,0.026,0.564,71.33291,74.5882
"Cherry Creek, School District No. 5",0,0,0,631,34,18.5,0.143,0.095,0.002,0.059,0.143,0.002,0.059,0.642,71.257,71.0695
Mesa County Valley School District No. 51,0,0,0,424,22,19.2,0.465,0.007,0.005,0,0.127,0,0.045,0.816,71.24882,60.2069
"Fountain, School District No. 8",1,0,0,467,29,16.1,0.4,0.058,0.009,0.002,0.227,0.013,0.122,0.57,71.13291,72.7581
"Greeley,school District No. 6",0,0,0,625,36.6,17,0.51,0.002,0.005,0.003,0.488,0,0.018,0.485,71.07643,66.47769
"Falcon, School District No. 49",0,1,0,384,22.4,17.1,0.161,0.034,0.008,0.008,0.07,0.005,0.044,0.831,70.83214,62.83954
Poudre School District R-1,0,0,0,413,23.2,17.8,0.259,0.007,0.002,0.015,0.15,0,0.039,0.787,70.80518,70.4576
"Douglas County School District, No. Re 1",0,0,0,551,28.2,19.5,0.04,0.02,0.007,0.054,0.087,0,0.053,0.779,70.60371,76.49554
Weld County School District No. Re-5j,0,0,0,593,27.9,21.2,0.172,0.005,0.002,0.008,0.14,0.002,0.005,0.838,70.51418,82.5485
Boulder Valley School District No. Re2,0,0,0,499,28,17.8,0.17,0.006,0.008,0.054,0.15,0,0.03,0.752,70.43591,75.4121
"Douglas County School District, No. Re 1",0,0,0,661,37.2,17.7,0.198,0.017,0.005,0.132,0.153,0,0.047,0.648,70.41036,71.20238
Clear Creek School District No. Re-1,0,0,0,244,16.6,14.6,0.09,0,0.008,0.004,0.02,0,0.016,0.951,70.3875,70.29585
Boulder Valley School District No. Re2,0,0,0,592,32.7,18,0.231,0.005,0.007,0.049,0.155,0.002,0.054,0.728,70.17836,74.322
Weld County School District No. Re-5j,1,0,0,524,26.6,19.6,0.258,0.008,0.004,0.004,0.298,0,0.021,0.666,69.97264,58.4966
Thompson School District R-2j,0,0,0,207,11.7,17.6,0.372,0.005,0.01,0,0.227,0.005,0.005,0.749,69.77491,78.6252
Jefferson County School District No. R-1,0,1,0,517,25.6,20.1,0.182,0.004,0,0.027,0.133,0.002,0.046,0.787,69.63121,80.43185
Fowler School District No. R4j,1,0,0,218,18.7,11.6,0.633,0,0,0,0.275,0,0,0.725,69.35786,75.34862
Eagle County School District No. Re 50,0,0,0,271,20.2,13.3,0.28,0.011,0.007,0.015,0.288,0.004,0.018,0.657,69.29418,63.9068
Jefferson County School District No. R-1,0,0,0,333,16.8,19.7,0.393,0.021,0.003,0.024,0.252,0.003,0.033,0.664,69.1085,67.72831
"Limon School District, No. Re 4j",1,0,0,240,15.1,15.8,0.529,0.025,0.004,0.013,0.121,0.017,0.029,0.792,68.96418,76.83683
"Ridgway, School District No. R-2",1,0,0,149,14.8,10,0.369,0,0,0.007,0.128,0,0.04,0.826,68.86964,57.319
St. Vrain Valley School District No. Re1j,0,0,0,399,22.4,17.8,0.246,0.005,0.005,0.038,0.143,0,0.018,0.792,68.802,64.9596
Adams 12 Five Star Schools,0,1,0,1866,87.2,21.3,0.183,0.014,0.006,0.068,0.251,0.001,0.025,0.635,68.78342,72.36846
School District 27j,0,1,0,743,28.4,26.1,0.129,0.011,0.001,0.005,0.21,0.001,0.02,0.751,68.78336,70.16285
"Cherry Creek, School District No. 5",0,0,0,402,18.1,22.1,0.179,0.01,0.012,0.072,0.149,0,0.075,0.682,68.68436,78.8521
Jefferson County School District No. R-1,0,0,0,506,26.7,18.9,0.324,0.01,0.002,0.091,0.198,0,0.045,0.654,68.58571,68.35115
Thompson School District R-2j,0,0,0,367,19.9,18.3,0.24,0.005,0.003,0.016,0.054,0.008,0.005,0.907,68.54173,65.743
"Fountain, School District No. 8",1,0,0,846,46,18.3,0.352,0.137,0.011,0.022,0.221,0.008,0.093,0.507,68.52573,62.1334
"Colorado Springs, School District No. 11",0,0,0,270,19,14.2,0.707,0.052,0.011,0,0.352,0.004,0.085,0.496,68.41027,61.4196
Delta County Joint District No. 50,1,0,0,576,34,16.9,0.637,0.005,0.002,0.031,0.319,0.003,0.017,0.622,68.32555,64.0607
Weld County Reorganized School District No. Re-3,0,1,0,162,11.9,13.5,0.093,0,0.006,0.012,0.062,0,0.043,0.877,68.2351,56.63957
"Douglas County School District, No. Re 1",0,0,0,651,31.7,20.5,0.094,0.005,0.003,0.009,0.091,0.002,0.049,0.842,68.22755,74.9196
Thompson School District R-2j,0,0,0,462,21,21.9,0.258,0.004,0.009,0.011,0.145,0,0.022,0.81,68.18418,80.3651
Jefferson County School District No. R-1,0,0,0,1111,57.6,19.2,0.427,0.011,0.007,0.077,0.316,0.003,0.034,0.553,68.10921,67.95862
"Douglas County School District, No. Re 1",0,0,0,538,28.6,18.8,0.188,0.022,0.002,0.026,0.13,0.006,0.045,0.77,68.10264,63.78515
"Falcon, School District No. 49",0,0,0,698,39.6,17.5,0.117,0.039,0.007,0.021,0.116,0.003,0.069,0.745,68.02991,66.9163
"Littleton, School District No. 6",0,0,0,376,18.5,20.3,0.213,0.008,0.005,0.019,0.154,0,0.024,0.79,67.90164,65.6019
"Douglas County School District, No. Re 1",0,0,0,546,29.3,18.6,0.095,0.013,0.004,0.022,0.139,0,0.049,0.773,67.858,70.76069
Jefferson County School District No. R-1,0,0,0,417,22.6,18.3,0.329,0.01,0.01,0.122,0.225,0,0.06,0.573,67.77643,69.13923
School District No. Re-50 Wiggins,1,0,0,307,14.4,21.1,0.544,0.007,0.01,0.003,0.309,0,0.042,0.629,67.73645,77.7007
"Douglas County School District, No. Re 1",0,0,0,587,34.6,16.9,0.162,0.014,0.005,0.009,0.099,0.003,0.055,0.816,67.60986,73.23377
"Colorado Springs, School District No. 11",0,0,0,613,35.1,17.4,0.259,0.042,0.007,0.024,0.157,0.008,0.067,0.695,67.57691,78.534
Jefferson County School District No. R-1,0,0,0,424,15.6,27,0.325,0.014,0.007,0.028,0.175,0.007,0.045,0.724,67.5705,66.32869
School District No. 1,0,0,0,458,30.5,15,0.36,0.098,0.015,0.031,0.197,0.009,0.066,0.585,67.53791,68.5981
St. Vrain Valley School District No. Re1j,0,0,0,348,20.2,17.2,0.23,0.009,0.003,0.026,0.121,0,0.029,0.813,67.49845,69.1155
"Douglas County School District, No. Re 1",0,0,0,486,24.1,20.1,0.123,0.004,0.002,0.014,0.136,0,0.049,0.794,67.42291,67.5384
School District 27j,0,0,0,740,37.7,19.5,0.226,0.008,0.004,0.099,0.254,0.001,0.066,0.568,67.32555,75.6809
"Falcon, School District No. 49",0,1,0,746,53,14,0.157,0.035,0.004,0.017,0.194,0.004,0.121,0.625,67.1965,69.73146
School District No. 1,0,1,0,555,26,21.3,0.121,0.065,0.002,0.088,0.2,0.004,0.049,0.593,67.149,65.70833
"Manitou Springs, School District No. 14",1,0,0,128,11,11.6,0.367,0.031,0,0,0.055,0,0,0.914,67.04863,66.1576
"Academy, School District No. 20",0,0,0,392,26.5,14.7,0.168,0,0.003,0.005,0.097,0,0.038,0.857,66.84373,80.3417
Weld County Reorganized School District No. Re-4,1,0,0,330,20.6,16,0.258,0,0.009,0.009,0.218,0,0.024,0.739,66.75936,70.4568
Adams 12 Five Star Schools,0,0,0,628,34,18.4,0.279,0.019,0.006,0.049,0.196,0,0.027,0.702,66.74873,67.2938
Telluride School District No. R-1,1,0,0,514,42.3,12.1,0.263,0,0,0.01,0.185,0.004,0.014,0.788,66.67693,72.62346
Jefferson County School District No. R-1,0,0,0,159,9.6,16.4,0.176,0,0,0.006,0.088,0,0.031,0.874,66.615,51.80356
State Charter School Institute,1,1,0,279,22.9,12.1,0.319,0.039,0.011,0.079,0.14,0,0.036,0.695,66.55073,64.29115
"Harrison, School District No. 2",1,0,0,489,26,18.8,0.675,0.219,0.018,0.01,0.38,0.014,0.057,0.301,66.419,79.4522
"Cherry Creek, School District No. 5",0,0,0,635,35.9,17.6,0.192,0.047,0.003,0.061,0.169,0.005,0.074,0.641,66.28564,65.7949
Wiley School District No. Re-13 Jt,1,0,0,109,10.8,10,0.55,0,0.009,0,0.33,0,0,0.661,66.231,61.06133
Denver 1,0,0,0,387,30.3,12.7,0,0.018,0.003,0.034,0.109,0,0.067,0.77,66.16714,72.44523
"Manitou Springs, School District No. 14",1,0,0,453,26.7,16.9,0.298,0.018,0.009,0.013,0.068,0.004,0.022,0.865,66.15364,66.8756
"Fountain, School District No. 8",0,0,0,654,40.9,15.9,0.257,0.087,0.008,0.014,0.213,0.017,0.11,0.552,66.09318,71.0561
"Douglas County School District, No. Re 1",0,0,0,273,16.1,16.9,0.125,0.007,0.018,0.022,0.084,0,0.051,0.817,65.78843,69.113
"Colorado Springs, School District No. 11",0,0,0,354,21.1,16.7,0.412,0.037,0.023,0.017,0.195,0,0.056,0.672,65.68473,74.1468
"Greeley,school District No. 6",0,0,1,711,40,17.7,0.63,0.003,0.001,0.006,0.518,0,0.024,0.449,65.66686,58.12315
School District No. 1,0,0,0,470,27,17.4,0.347,0.166,0.002,0.036,0.202,0,0.062,0.532,65.55145,71.0305
"Falcon, School District No. 49",0,0,0,743,42.1,17.6,0.155,0.023,0,0.012,0.131,0.001,0.065,0.769,65.54691,76.4841
"Colorado Springs, School District No. 11",0,0,0,318,19.2,16.5,0.472,0.013,0.003,0.009,0.226,0,0.05,0.698,65.52436,62.4849
"Douglas County School District, No. Re 1",0,0,0,610,35.8,17,0.074,0.005,0,0.02,0.098,0.002,0.031,0.844,65.52293,66.67708
Adams 12 Five Star Schools,0,0,0,526,25.5,20.6,0.262,0.032,0.008,0.067,0.162,0.002,0.019,0.711,65.41491,64.225
Garfield School District No. Re-2,0,0,0,413,22.2,18.5,0.521,0.01,0.027,0,0.303,0,0.027,0.634,65.396,63.9105
Las Animas School District No. Re-1,1,0,0,272,16.9,16,0.79,0.007,0.004,0,0.382,0,0.018,0.588,65.37664,71.41869
Jefferson County School District No. R-1,0,0,0,548,26.5,20.6,0.288,0.004,0.005,0.029,0.193,0,0.04,0.728,65.23171,58.66623
School District No. Re-4 Buffalo,1,0,0,165,10.4,15.8,0.309,0.024,0.018,0,0.079,0,0.018,0.861,65.183,53.31015
Holyoke School District No. Re-1j,1,0,0,308,24,12.8,0.51,0.003,0,0,0.458,0,0.01,0.529,65.16486,68.85515
Poudre School District R-1,0,0,0,104,7.3,14.1,0.337,0,0,0.029,0.087,0,0.019,0.865,65.07191,56.262
School District No. 1,0,0,0,553,33.3,16.5,0.465,0.029,0.014,0.042,0.418,0,0.033,0.465,65.005,56.1125
St. Vrain Valley School District No. Re1j,0,0,0,583,28.1,20.7,0.266,0.002,0.002,0.012,0.197,0,0.039,0.748,64.875,61.0654
Jefferson County School District No. R-1,0,0,0,342,19,17.9,0.567,0.012,0.009,0.006,0.295,0.003,0.015,0.661,64.72107,55.54031
Durango School District No. 9-R,0,0,0,490,29.3,16.7,0.355,0.004,0.061,0.012,0.188,0.002,0.027,0.706,64.55545,69.3171
Thompson School District R-2j,0,0,0,408,26.5,15.3,0.463,0.017,0,0.01,0.277,0,0.025,0.672,64.49955,58.7732
Mesa County Valley School District No. 51,0,1,0,327,19.5,16.7,0.171,0,0.009,0.009,0.15,0,0.034,0.798,64.46179,62.51592
State Charter School Institute,0,1,0,190,7.4,25.3,0.274,0.016,0.005,0.021,0.095,0,0.005,0.858,64.44978,58.47343
St. Vrain Valley School District No. Re1j,0,1,0,1044,35.8,29.1,0.367,0.01,0.008,0.097,0.276,0.003,0.038,0.569,64.033,61.79785
Jefferson County School District No. R-1,0,0,0,452,22.5,20,0.381,0.015,0.004,0.024,0.153,0,0.035,0.768,63.97786,62.14769
Crowley County School District No. Re-1-J,1,0,0,201,13.8,14.5,0.801,0,0.02,0,0.463,0.005,0.035,0.478,63.83255,60.9623
Boulder Valley School District No. Re2,0,0,0,418,26.8,15.5,0.294,0.007,0,0.053,0.201,0,0.043,0.696,63.68227,56.0914
West Grand School District No. 1,1,0,0,199,17.3,11.4,0.377,0,0,0,0.211,0,0.045,0.744,63.58809,57.3602
Adams 12 Five Star Schools,0,0,0,632,31.5,20,0.231,0.011,0.009,0.074,0.241,0,0.032,0.633,63.46155,58.021
Adams 12 Five Star Schools,0,0,0,518,25,20.7,0.131,0.014,0.002,0.069,0.164,0.002,0.025,0.724,63.29891,56.9648
Jefferson County School District No. R-1,0,0,0,484,23.5,20.5,0.256,0.004,0.002,0.019,0.114,0,0.031,0.831,63.20879,62.18823
"Douglas County School District, No. Re 1",0,0,0,753,40.8,18.4,0.149,0.015,0.005,0.04,0.138,0.003,0.027,0.773,63.11793,74.11423
Norwood School District No. R-2j,1,0,0,142,10.3,13.7,0.62,0.007,0.014,0,0.113,0,0.028,0.838,63.03955,62.2352
"Westminster, School District No. 50",0,1,0,463,26,17.7,0.464,0.006,0.002,0.043,0.51,0.004,0.026,0.408,62.90121,61.14446
"Sangre De Cristo School District, No. Re-22j",1,0,0,161,11.7,13.6,0.609,0.006,0.006,0,0.398,0,0.019,0.571,62.84291,50.54223
"Douglas County School District, No. Re 1",0,0,0,936,54.4,17.1,0.25,0.019,0.002,0.024,0.141,0,0.063,0.751,62.77386,71.24577
"Colorado Springs, School District No. 11",0,0,0,390,24.4,15.9,0.531,0.059,0,0.01,0.251,0.005,0.113,0.562,62.694,65.9065
"Fountain, School District No. 8",1,0,0,430,27,15.8,0.426,0.079,0,0.009,0.265,0.016,0.095,0.535,62.642,55.3483
Pueblo County School District 70,1,0,0,339,17.3,19.5,0.499,0.006,0,0.012,0.177,0,0.05,0.755,62.59482,64.8845
Salida School District No. R-32,1,0,0,425,29,14.6,0.442,0.005,0.009,0.005,0.162,0,0.026,0.793,62.50743,75.194
Weld County Reorganized School District No. Re-3,0,0,0,264,16.3,16.1,0.485,0,0.008,0,0.22,0,0.03,0.742,62.27555,61.5657
Jefferson County School District No. R-1,0,0,0,350,17.5,19.9,0.254,0.014,0,0.023,0.12,0,0.031,0.811,62.21964,48.65754
"Cherry Creek, School District No. 5",0,0,0,635,36.5,17.3,0.216,0.085,0.006,0.077,0.153,0.002,0.046,0.631,62.05382,68.1322
St. Vrain Valley School District No. Re1j,0,0,0,401,23.4,17.1,0.209,0.01,0.005,0.005,0.17,0,0.005,0.805,61.98445,65.4447
Adams 12 Five Star Schools,0,0,0,632,31.5,20,0.389,0.033,0.002,0.033,0.288,0,0.022,0.622,61.98309,65.7025
Jefferson County School District No. R-1,0,0,0,321,18.5,17.3,0.414,0.009,0,0.012,0.159,0,0.04,0.779,61.96436,63.75662
Poudre School District R-1,0,0,0,457,26.5,17.2,0.352,0.009,0.002,0.015,0.219,0,0.018,0.737,61.87436,56.6872
Durango School District No. 9-R,1,0,0,488,32.9,14.8,0.381,0.006,0.057,0.025,0.244,0,0.029,0.639,61.86409,50.3708
"Falcon, School District No. 49",0,0,0,654,41.6,15.6,0.243,0.073,0,0.05,0.19,0,0.092,0.595,61.85327,72.8488
Summit School District No. Re 1,1,0,0,416,27.5,15,0.531,0,0,0.005,0.589,0,0.019,0.387,61.84309,43.7164
Poudre School District R-1,0,0,0,381,20,18.9,0.26,0.026,0,0.016,0.147,0,0.039,0.772,61.82145,70.1939
East Grand School District No. 2,1,0,0,360,29.2,12.3,0.397,0,0.014,0,0.172,0.006,0.019,0.789,61.81918,49.783
Mesa County Valley School District No. 51,0,0,0,202,12,16.8,0.193,0,0,0,0.134,0,0.025,0.842,61.80982,67.2195
School District 27j,0,0,0,882,39.1,22.5,0.262,0.029,0.001,0.035,0.339,0.001,0.041,0.553,61.6,56.2532
Jefferson County School District No. R-1,0,0,0,419,22.6,18.4,0.346,0.002,0.01,0.024,0.215,0.002,0.031,0.716,61.53179,59.91085
Hayden School District No. Re 1,1,0,0,216,15,14.3,0.366,0.009,0,0,0.083,0,0,0.907,61.50918,58.4594
Adams 12 Five Star Schools,0,0,0,461,23.6,19.5,0.163,0.017,0.002,0.059,0.182,0,0.017,0.722,61.47873,65.1824
Thompson School District R-2j,0,1,0,476,25.9,18.3,0.271,0.002,0.008,0.023,0.139,0,0.032,0.796,61.46957,67.78738
Poudre School District R-1,0,0,0,330,19.9,16.5,0.376,0.009,0,0.006,0.167,0,0.033,0.785,61.39555,67.2038
Jefferson County School District No. R-1,0,0,0,499,31.6,15.7,0.519,0.018,0.012,0.022,0.357,0.006,0.036,0.549,61.3755,61.60915
Weld County School District No. Re-2,1,0,0,145,8.6,16.8,0.462,0.007,0,0,0.248,0,0,0.745,61.23827,56.5101
North Conejos School District No. Re1j,1,0,0,230,15.1,15.1,0.687,0.013,0.013,0,0.539,0.009,0,0.426,61.23655,61.8415
Granada School District No. Re-1,1,0,0,102,10.6,9.6,0.608,0,0,0,0.735,0,0,0.265,61.225,42.77633
Boulder Valley School District No. Re2,1,0,0,389,27.3,14.2,0.378,0.01,0,0.051,0.28,0.003,0.057,0.599,61.20864,64.2175
Thompson School District R-2j,1,0,0,267,18.3,14.5,0.592,0.011,0.004,0.007,0.247,0.004,0.03,0.697,61.16509,65.9339
School District No. C-1,1,0,0,341,25,13.5,0.29,0,0,0.003,0.109,0,0.038,0.85,61.143,71.0507
Poudre School District R-1,0,1,0,773,50.6,15.2,0.163,0.005,0.003,0.045,0.109,0,0.058,0.78,61.10429,63.41969
Delta County Joint District No. 50,1,0,0,384,20.7,18.4,0.51,0.008,0.008,0.005,0.146,0,0.023,0.81,60.85829,75.06438
Poudre School District R-1,0,0,0,331,21.3,15.5,0.396,0.003,0.009,0.006,0.341,0.006,0.015,0.619,60.69673,51.8263
Genoa-Hugo School District No. C-113,1,0,0,109,8.6,12.5,0.523,0.018,0.028,0,0.037,0,0,0.917,60.54225,72.20767
Jefferson County School District No. R-1,0,0,0,520,22.6,22.9,0.3,0.002,0.004,0.01,0.217,0.002,0.042,0.723,60.47593,57.00131
"Falcon, School District No. 49",0,0,0,613,35.5,17.2,0.235,0.093,0,0.036,0.166,0.002,0.073,0.63,60.45009,61.9372
"Academy, School District No. 20",1,0,0,383,29.7,12.8,0.371,0.094,0.01,0.023,0.18,0.01,0.063,0.619,60.44564,66.6108
Cheyenne Mountain School District No. 12,1,0,0,314,20.5,15.3,0.42,0.054,0,0.01,0.182,0,0.057,0.697,60.31579,72.79685
"Cherry Creek, School District No. 5",0,0,0,810,46,17.5,0.173,0.098,0.005,0.09,0.154,0,0.048,0.605,60.30827,63.4418
"Harrison, School District No. 2",1,0,0,360,25.5,14.1,0.875,0.117,0.006,0.014,0.547,0.008,0.064,0.244,60.292,66.1657
Montrose County School District Re-1j,0,0,0,450,23.4,19.2,0.318,0.011,0.002,0.004,0.153,0,0.033,0.796,60.13191,58.3772
Big Sandy School District No. 100j,1,0,0,140,11.5,12.1,0.55,0,0.007,0,0.079,0,0.057,0.857,60.11627,61.1085
Woodland Park School District No. Re-2,0,0,0,417,23.7,17.5,0.278,0.005,0.007,0.007,0.053,0,0.041,0.887,59.85145,61.7193
"Colorado Springs, School District No. 11",0,0,0,334,21.3,15.6,0.404,0.018,0,0.015,0.147,0.003,0.078,0.74,59.77655,54.1201
St. Vrain Valley School District No. Re1j,0,1,0,627,39.9,15.7,0.163,0.013,0.003,0.022,0.136,0.002,0.011,0.813,59.74679,70.432
State Charter School Institute,0,1,0,291,20.8,13.9,0.141,0,0,0.017,0.244,0.007,0.014,0.718,59.66757,65.57123
