District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
Boulder Valley School District No. Re2,0,0,0,341,19,17.9,0.065,0,0.003,0.044,0.035,0,0.056,0.862,90.58473,88.0341
"Littleton, School District No. 6",0,0,0,623,22.9,27.1,0.066,0.011,0.008,0.026,0.072,0.003,0.018,0.862,90.48791,85.9202
"Colorado Springs, School District No. 11",0,0,0,295,16.8,17.5,0.214,0.031,0.003,0.01,0.088,0.003,0.054,0.81,90.378,89.8135
Jefferson County School District No. R-1,0,0,0,764,30.6,24.9,0.037,0.003,0,0.024,0.064,0,0.018,0.891,90.367,87.33062
Thompson School District R-2j,0,0,0,361,23.7,15.2,0.166,0.011,0.003,0.036,0.111,0.003,0.036,0.801,90.29173,91.4923
"Littleton, School District No. 6",0,0,0,544,29.4,18.5,0.103,0.011,0,0.028,0.063,0.002,0.042,0.855,90.08364,86.9577
"Douglas County School District, No. Re 1",0,0,0,511,27.9,18.3,0.061,0,0,0.023,0.074,0.002,0.027,0.873,90.05718,88.6934
School District No. 1,0,0,0,417,28,14.8,0.151,0.053,0,0.05,0.118,0,0.074,0.705,89.91264,90.637
"Littleton, School District No. 6",0,1,0,465,39,11.8,0.054,0.019,0,0.144,0.067,0,0.034,0.735,89.82957,92.04523
Jefferson County School District No. R-1,0,0,0,442,23.1,19,0.104,0.002,0,0.025,0.129,0,0.036,0.808,89.8265,87.79846
Boulder Valley School District No. Re2,0,0,0,405,21.3,19,0.099,0.007,0,0.047,0.079,0.002,0.059,0.805,89.82627,86.7772
St. Vrain Valley School District No. Re1j,0,0,0,501,26.3,19,0.092,0.018,0.004,0.038,0.06,0,0.016,0.864,89.76945,91.2684
Boulder Valley School District No. Re2,0,0,0,959,51.6,18.5,0.065,0.007,0.003,0.131,0.08,0,0.052,0.726,89.68029,87.89992
"Academy, School District No. 20",0,0,0,730,32.2,22.6,0.047,0.014,0.012,0.084,0.104,0.005,0.079,0.701,89.65955,89.382
Jefferson County School District No. R-1,0,0,0,365,15.4,23.5,0.145,0.003,0.003,0,0.047,0.003,0.027,0.918,89.59473,93.6345
Jefferson County School District No. R-1,0,0,0,485,16.1,29.9,0.111,0.014,0,0.019,0.136,0.002,0.049,0.779,89.449,84.41538
"Cherry Creek, School District No. 5",0,0,0,646,37.3,17.2,0.076,0.065,0.008,0.124,0.094,0,0.036,0.673,89.40564,86.6979
"Douglas County School District, No. Re 1",0,1,0,738,30.4,24.2,0.057,0.001,0.003,0.024,0.098,0.003,0.049,0.822,89.35407,87.22854
"Cherry Creek, School District No. 5",0,0,0,531,29.3,18,0.173,0.017,0.002,0.092,0.202,0.002,0.058,0.627,89.24191,86.5708
"Academy, School District No. 20",0,0,0,561,31.8,17.6,0.066,0.014,0.002,0.059,0.116,0.004,0.073,0.733,89.23773,89.5732
"Douglas County School District, No. Re 1",0,0,0,614,32.7,18.7,0.046,0.005,0,0.047,0.099,0,0.06,0.788,89.20993,92.60885
Adams 12 Five Star Schools,0,1,0,648,35.9,18,0.032,0.008,0.005,0.185,0.091,0.002,0.043,0.667,89.16471,90.90985
"Douglas County School District, No. Re 1",0,1,0,405,15.9,25.3,0.057,0.01,0.002,0.022,0.099,0,0.049,0.817,88.94786,87.88315
"Cherry Creek, School District No. 5",0,1,0,502,32.9,15.2,0,0.062,0.002,0.205,0.072,0,0.048,0.612,88.79079,86.10569
"Cherry Creek, School District No. 5",0,0,0,557,29.2,19,0.133,0.027,0.002,0.199,0.111,0.005,0.038,0.618,88.75745,89.2702
"Ouray, School District No. R-1",1,0,0,109,12.7,8.5,0.394,0.009,0,0.028,0.11,0,0,0.853,88.71743,(n/a)
Boulder Valley School District No. Re2,0,0,0,574,30.7,18.6,0.15,0.003,0.002,0.019,0.101,0,0.063,0.812,88.67273,88.0637
Boulder Valley School District No. Re2,0,0,0,488,23.1,21,0.057,0.008,0.002,0.033,0.049,0,0.084,0.824,88.60364,91.9385
"Academy, School District No. 20",0,0,0,517,32.2,16,0.149,0.019,0.01,0.008,0.133,0.002,0.07,0.758,88.40918,79.117
"Douglas County School District, No. Re 1",0,0,0,575,29.2,19.6,0.019,0.01,0.014,0.033,0.068,0,0.021,0.854,88.33836,87.71323
Cheyenne Mountain School District No. 12,1,1,0,794,69.6,11.4,0.224,0.044,0.003,0.047,0.23,0,0.059,0.617,88.31729,89.98669
Otis School District No. R-3,1,0,0,122,12.2,9.9,0.492,0,0.008,0,0.049,0,0.008,0.934,88.2265,28.02567
"Academy, School District No. 20",0,0,0,721,40,18,0.087,0.051,0.006,0.111,0.119,0.007,0.065,0.641,88.217,88.4385
St. Vrain Valley School District No. Re1j,0,1,0,933,59.6,15.6,0.095,0.009,0.01,0.081,0.058,0.002,0.016,0.824,88.16586,84.08631
Steamboat Springs School District No. Re 2,1,0,0,518,36.5,14.1,0.197,0.004,0.002,0.017,0.151,0.002,0.014,0.811,88.12818,87.8351
Boulder Valley School District No. Re2,0,0,0,431,23.8,18,0.07,0.005,0.002,0.035,0.053,0,0.077,0.828,88.08373,89.4659
School District No. 1,0,0,0,599,28.3,21.1,0.063,0.052,0.003,0.035,0.08,0,0.083,0.746,87.82729,(n/a)
Poudre School District R-1,0,0,0,455,24.9,18.2,0.321,0.009,0.013,0.007,0.116,0.002,0.015,0.837,87.57,82.9183
Jefferson County School District No. R-1,0,0,0,326,15.6,20.7,0.141,0.003,0,0.021,0.104,0.003,0.037,0.831,87.37607,93.02
"Douglas County School District, No. Re 1",0,0,0,581,28.7,20.2,0.036,0.015,0.005,0.031,0.067,0,0.055,0.826,87.0805,90.751
Boulder Valley School District No. Re2,0,0,0,319,14.7,21.6,0.132,0.013,0.006,0.028,0.056,0,0.082,0.815,87.02064,90.8622
Jefferson County School District No. R-1,0,0,0,290,14.5,19.9,0.072,0,0.003,0.041,0.048,0,0.031,0.876,86.86173,84.4193
"Cherry Creek, School District No. 5",0,0,0,337,17.8,18.8,0.074,0.027,0.003,0.148,0.134,0,0.039,0.65,86.83736,78.8247
"Douglas County School District, No. Re 1",0,0,0,733,36.5,20,0.111,0.007,0,0.098,0.112,0,0.057,0.726,86.77429,94.004
"Harrison, School District No. 2",0,1,0,548,23.8,22.9,0.462,0.055,0.005,0.042,0.369,0.024,0.053,0.453,86.71945,93.2581
Poudre School District R-1,0,0,0,501,27.4,18.2,0.184,0.008,0.002,0.028,0.088,0,0.042,0.832,86.68364,86.55
Jefferson County School District No. R-1,0,0,0,546,26.6,20.4,0.137,0,0.002,0.042,0.062,0.004,0.031,0.859,86.546,83.15146
Boulder Valley School District No. Re2,0,0,0,312,15.8,19.7,0.176,0.01,0,0.067,0.192,0,0.077,0.654,86.54191,79.2494
Boulder Valley School District No. Re2,0,0,0,614,32,19.1,0.127,0.011,0,0.02,0.112,0,0.039,0.818,86.52909,86.9396
Summit School District No. Re 1,0,0,0,235,15.6,15,0.217,0,0,0.017,0.111,0,0.03,0.843,86.52191,65.2336
St. Vrain Valley School District No. Re1j,0,1,0,262,18.4,14.2,0.046,0.038,0,0.015,0.069,0.004,0.011,0.863,86.39064,(n/a)
Jefferson County School District No. R-1,0,0,0,577,29.6,19.4,0.087,0.002,0.003,0.019,0.088,0,0.029,0.858,86.15509,87.8425
"Douglas County School District, No. Re 1",0,0,0,651,35,18.6,0.023,0.008,0.003,0.083,0.084,0.002,0.048,0.773,85.97991,88.6239
"Littleton, School District No. 6",0,0,0,475,23.9,19.7,0.109,0.013,0,0.036,0.109,0,0.023,0.819,85.84073,87.6455
St. Vrain Valley School District No. Re1j,0,0,0,746,36.6,20.3,0.036,0.004,0.003,0.025,0.063,0.001,0.011,0.893,85.82145,90.0499
Jefferson County School District No. R-1,0,0,0,654,33.1,19.7,0.194,0.005,0.002,0.035,0.157,0.002,0.041,0.758,85.79157,82.72592
Jefferson County School District No. R-1,0,0,0,642,31.1,20.5,0.069,0,0.003,0.037,0.097,0,0.026,0.836,85.70007,87.08715
School District No. 1,0,0,0,706,40.5,17.4,0.156,0.092,0,0.034,0.123,0.001,0.055,0.694,85.64255,86.8444
"Lewis-Palmer Consolidated, School District No. 38",0,0,0,364,25.5,14.2,0.044,0.019,0,0.022,0.104,0,0.027,0.827,85.58379,86.335
"Swink, School District No. 33",1,0,0,181,14.6,12.3,0.508,0.011,0,0.055,0.293,0,0.033,0.608,85.34871,84.27392
"Lewis-Palmer Consolidated, School District No. 38",0,1,0,895,50.4,17.7,0.068,0.012,0,0.023,0.096,0,0.057,0.811,85.19064,85.55423
"Greeley,school District No. 6",0,1,0,1509,75,20.1,0.221,0.011,0.003,0.011,0.156,0,0.013,0.806,85.17821,83.92823
Poudre School District R-1,0,0,0,415,25,16.6,0.251,0.007,0.002,0.099,0.072,0,0.072,0.747,85.06164,81.2939
"Douglas County School District, No. Re 1",0,1,0,1549,88.3,17.5,0.024,0.008,0.001,0.085,0.076,0.001,0.039,0.791,85.06,91.18354
"Douglas County School District, No. Re 1",0,0,0,578,31.3,18.4,0.021,0.017,0.005,0.04,0.071,0.002,0.038,0.827,84.97973,90.2518
Eagle County School District No. Re 50,0,1,0,346,24.6,14,0.023,0,0.003,0.006,0.038,0,0.009,0.945,84.91707,84.54577
"Douglas County School District, No. Re 1",0,0,0,554,31.3,17.6,0.065,0.004,0.004,0.042,0.099,0,0.04,0.812,84.84764,86.32654
"Douglas County School District, No. Re 1",0,1,0,1035,73.4,14,0.044,0.016,0.004,0.116,0.108,0.001,0.037,0.718,84.77586,84.18038
Jefferson County School District No. R-1,0,0,0,538,26.5,20.3,0.143,0.002,0.002,0.028,0.113,0.006,0.041,0.809,84.5025,85.42454
Adams 12 Five Star Schools,0,0,0,542,26,20.8,0.035,0.004,0,0.063,0.068,0.002,0.048,0.815,84.46727,86.7664
Cheyenne Mountain School District No. 12,0,0,0,339,22.2,15.2,0.139,0.05,0.012,0.047,0.109,0,0.065,0.717,84.41229,85.54723
"Cherry Creek, School District No. 5",0,0,0,738,41.4,17.8,0.108,0.056,0.011,0.145,0.104,0,0.045,0.64,84.24891,85.8609
"Douglas County School District, No. Re 1",0,1,0,669,39.1,17.1,0,0.016,0.001,0.057,0.135,0.001,0.051,0.738,84.16929,90.27723
St. Vrain Valley School District No. Re1j,0,0,0,576,27.8,20.6,0.188,0.01,0.016,0.047,0.16,0.003,0.019,0.745,84.14627,79.9342
"Douglas County School District, No. Re 1",0,0,0,603,30,20,0.046,0.008,0,0.035,0.104,0.003,0.048,0.801,84.07657,86.229
Lamar School District No. Re-2,1,1,0,141,9.5,14.8,0.333,0.007,0,0,0.241,0,0.028,0.723,84.07221,85.0856
Boulder Valley School District No. Re2,0,1,0,348,21.1,16.4,0.052,0.006,0.003,0.052,0.04,0,0.029,0.871,84.06121,81.91946
"Academy, School District No. 20",0,0,0,370,26.7,13.8,0.119,0.022,0,0.046,0.111,0,0.065,0.757,83.79909,82.9989
School District No. 1,0,0,0,821,42.6,19.2,0.161,0.112,0.004,0.026,0.107,0.001,0.043,0.708,83.74136,86.41669
"Cherry Creek, School District No. 5",0,0,0,716,41.9,17,0.133,0.059,0.003,0.078,0.141,0,0.057,0.662,83.671,83.8897
"Douglas County School District, No. Re 1",0,1,0,859,38.5,22.2,0.054,0.008,0.005,0.079,0.085,0,0.043,0.78,83.65443,(n/a)
Poudre School District R-1,0,0,0,555,31.1,17.8,0.25,0.025,0.005,0.032,0.141,0,0.027,0.769,83.62709,87.6701
East Grand School District No. 2,0,0,0,261,20.3,12.8,0.249,0,0.004,0,0.153,0.004,0.011,0.828,83.61455,83.1922
Jefferson County School District No. R-1,0,0,0,614,33,18.6,0.138,0,0,0.029,0.109,0.002,0.028,0.832,83.54893,85.59454
Jefferson County School District No. R-1,0,0,0,497,27.5,18,0.199,0.008,0.004,0.078,0.161,0.004,0.046,0.698,83.28407,82.15369
Boulder Valley School District No. Re2,0,1,0,1445,64.2,22.4,0.073,0.008,0.002,0.111,0.089,0.003,0.048,0.738,83.2475,83.491
Jefferson County School District No. R-1,0,0,0,590,30.5,19.3,0.119,0.003,0,0.073,0.064,0,0.029,0.831,83.18279,84.65269
"Douglas County School District, No. Re 1",0,0,1,413,23,17.9,0.077,0,0,0.031,0.07,0,0.036,0.862,83.14521,84.24131
Aspen School District No. 1,1,0,0,507,43.5,11.6,0.057,0.016,0,0.016,0.118,0.002,0.012,0.836,83.13586,83.511
St. Vrain Valley School District No. Re1j,0,1,0,196,14,13.9,0.092,0.02,0,0.046,0.026,0,0.005,0.903,83.11171,77.9626
School District No. 1,0,0,0,440,27.2,16.1,0.134,0.011,0.007,0.014,0.084,0,0.03,0.855,82.92536,81.0091
Weld County Reorganized School District No. Re-4,0,1,0,422,26,16.1,0.111,0,0,0.031,0.081,0,0.031,0.858,82.89079,79.26254
Boulder Valley School District No. Re2,0,0,0,404,24.1,16.7,0.149,0.007,0.002,0.062,0.126,0.002,0.067,0.733,82.84536,81.0813
Adams 12 Five Star Schools,0,0,0,689,33.1,20.8,0.048,0.016,0.003,0.074,0.087,0.003,0.022,0.795,82.83245,80.7929
School District No. 1,0,0,0,428,26.6,16,0.306,0.054,0.002,0.047,0.147,0.002,0.061,0.687,82.726,78.6994
"Douglas County School District, No. Re 1",0,0,0,517,24.4,21.1,0.099,0.015,0.002,0.058,0.126,0.002,0.044,0.752,82.69193,85.477
Adams 12 Five Star Schools,0,0,0,677,36.6,18.4,0.078,0.013,0.001,0.064,0.121,0,0.032,0.768,82.58873,85.0613
"Littleton, School District No. 6",0,1,0,624,39.2,15.9,0.21,0.014,0.003,0.026,0.237,0,0.019,0.7,82.52529,82.66423
"Douglas County School District, No. Re 1",0,0,0,589,28.4,20.7,0.107,0.017,0.003,0.063,0.149,0.002,0.049,0.716,82.35893,80.05585
"Cherry Creek, School District No. 5",0,0,0,566,29.6,19,0.078,0.069,0.004,0.108,0.111,0.004,0.065,0.64,82.35591,85.7007
"Douglas County School District, No. Re 1",0,1,0,490,22.5,21.7,0.08,0.012,0.004,0.114,0.073,0,0.047,0.749,81.93843,84.27523
"Douglas County School District, No. Re 1",0,0,0,282,17,16.5,0.113,0.014,0.011,0.018,0.121,0,0.053,0.784,81.90355,82.3999
"Academy, School District No. 20",0,1,0,2038,122,16.7,0.062,0.022,0.004,0.031,0.083,0.004,0.039,0.817,81.87829,86.40046
Boulder Valley School District No. Re2,0,0,0,470,26.3,17.8,0.147,0.002,0,0.098,0.126,0.006,0.036,0.732,81.79827,76.0722
Pueblo County School District 70,0,1,0,332,17.7,18.7,0.256,0.006,0.006,0.024,0.241,0,0.015,0.708,81.73429,74.22831
Jefferson County School District No. R-1,0,0,0,306,14.8,20.6,0.199,0.003,0.01,0.016,0.052,0,0.02,0.899,81.73409,80.9052
"Academy, School District No. 20",0,0,0,2509,139.8,17.9,0.073,0.024,0.004,0.031,0.106,0.004,0.057,0.774,81.5305,86.84823
Steamboat Springs School District No. Re 2,0,0,0,555,36.6,15.1,0.189,0.004,0,0.009,0.105,0.007,0.018,0.858,81.42991,79.8965
St. Vrain Valley School District No. Re1j,0,0,0,557,28,19.8,0.289,0.018,0.004,0.095,0.18,0,0.022,0.682,81.12127,78.1616
Jefferson County School District No. R-1,0,0,0,619,27.6,22.3,0.195,0,0,0.021,0.136,0.002,0.031,0.811,80.971,77.63792
Weld County School District No. Re-2,1,0,0,387,21,18.4,0.377,0.005,0.003,0.005,0.214,0,0.021,0.752,80.95009,81.2685
"Cherry Creek, School District No. 5",0,0,0,800,45.7,17.4,0.043,0.043,0.005,0.083,0.126,0.001,0.056,0.686,80.94318,78.0666
Poudre School District R-1,0,0,0,492,27.9,17.6,0.25,0.01,0.016,0.035,0.116,0,0.053,0.77,80.92336,86.783
"Lewis-Palmer Consolidated, School District No. 38",1,0,0,372,24.6,15.1,0.073,0.005,0.005,0.035,0.086,0,0.024,0.844,80.90471,81.399
Eagle County School District No. Re 50,0,0,0,479,29.2,16.3,0.152,0.002,0.004,0.008,0.157,0,0.01,0.818,80.88382,78.8336
Jefferson County School District No. R-1,0,0,0,449,18.3,24.4,0.214,0.013,0.004,0.053,0.154,0.007,0.04,0.728,80.58507,78.16554
St. Vrain Valley School District No. Re1j,0,0,0,339,17.9,18.8,0.761,0.018,0,0.024,0.074,0,0.018,0.867,80.46336,79.7231
"Lewis-Palmer Consolidated, School District No. 38",1,0,0,930,48.6,19.1,0.109,0.019,0.009,0.016,0.101,0,0.059,0.796,80.35621,79.31831
Summit School District No. Re 1,0,0,0,294,19.6,14.9,0.35,0,0,0.01,0.293,0,0.014,0.684,80.30591,70.9011
Jefferson County School District No. R-1,0,0,0,358,21.1,16.9,0.098,0,0.003,0.008,0.07,0,0.031,0.888,80.22757,80.45462
School District No. 1,0,1,0,233,16.6,13.9,0.348,0.129,0.004,0.021,0.159,0,0.12,0.567,80.21914,68.21477
Jefferson County School District No. R-1,0,0,0,435,24.8,17.5,0.251,0.011,0.007,0.034,0.168,0,0.06,0.72,79.99993,74.68331
"Douglas County School District, No. Re 1",0,0,1,497,27.7,17.9,0.06,0.022,0.004,0.042,0.101,0.002,0.05,0.779,79.90343,83.27915
Jefferson County School District No. R-1,0,1,0,533,21.2,25.1,0.073,0.006,0,0.039,0.084,0.006,0.039,0.826,79.88279,75.69023
"Douglas County School District, No. Re 1",0,0,0,601,31.5,19,0.063,0.007,0.008,0.03,0.113,0,0.045,0.797,79.86836,82.21669
"Douglas County School District, No. Re 1",0,0,0,415,22.6,18.3,0.072,0.007,0,0.024,0.116,0.002,0.048,0.802,79.49455,78.013
Jefferson County School District No. R-1,0,0,0,425,25.3,16.7,0.132,0.012,0.014,0.033,0.155,0,0.019,0.767,79.31514,74.17238
